"block","item_no","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","ANSWER","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"orthogonal","78","wua1","w","ua","t1","thia3","th","ia","t3","diff","wua","thia","w_th","ua_ia","t1t3","wua_thia","t1t3","th_w","ia_ua","thia_wua"
"orthogonal","79","wua1","w","ua","t1","khw1","kh","w","t1","same","wua","khw","w_kh","ua_w","t1t1","wua_khw","t1t1","kh_w","ua_w","khw_wua"
"orthogonal","81","wua2","w","ua","t2","tco2","tc","o","t2","same","wua","tco","w_tc","ua_o","t2t2","wua_tco","t2t2","tc_w","o_ua","tco_wua"
"orthogonal","82","wua1","w","ua","t1","khw1","kh","w","t1","same","wua","khw","w_kh","ua_w","t1t1","wua_khw","t1t1","kh_w","ua_w","khw_wua"
"orthogonal","83","thia5","th","ia","t5","khw5","kh","w","t5","same","thia","khw","th_kh","ia_w","t5t5","thia_khw","t5t5","kh_th","ia_w","khw_thia"
"orthogonal","84","wua2","w","ua","t2","thia2","th","ia","t2","same","wua","thia","w_th","ua_ia","t2t2","wua_thia","t2t2","th_w","ia_ua","thia_wua"
"orthogonal","85","wua1","w","ua","t1","thia1","th","ia","t1","same","wua","thia","w_th","ua_ia","t1t1","wua_thia","t1t1","th_w","ia_ua","thia_wua"
"orthogonal","86","thia5","th","ia","t5","khw5","kh","w","t5","same","thia","khw","th_kh","ia_w","t5t5","thia_khw","t5t5","kh_th","ia_w","khw_thia"
"orthogonal","87","wua4","w","ua","t4","tco5","tc","o","t5","diff","wua","tco","w_tc","ua_o","t4t5","wua_tco","t4t5","tc_w","o_ua","tco_wua"
"orthogonal","88","wua3","w","ua","t3","khw5","kh","w","t5","diff","wua","khw","w_kh","ua_w","t3t5","wua_khw","t3t5","kh_w","ua_w","khw_wua"
"orthogonal","89","wua4","w","ua","t4","tco3","tc","o","t3","diff","wua","tco","w_tc","ua_o","t4t3","wua_tco","t3t4","tc_w","o_ua","tco_wua"
"orthogonal","90","wua5","w","ua","t5","thia1","th","ia","t1","diff","wua","thia","w_th","ua_ia","t5t1","wua_thia","t1t5","th_w","ia_ua","thia_wua"
"orthogonal","91","khw5","kh","w","t5","wua4","w","ua","t4","diff","khw","wua","kh_w","w_ua","t5t4","khw_wua","t4t5","kh_w","ua_w","khw_wua"
"orthogonal","92","thia5","th","ia","t5","tco4","tc","o","t4","diff","thia","tco","th_tc","ia_o","t5t4","thia_tco","t4t5","tc_th","ia_o","tco_thia"
"orthogonal","93","tco4","tc","o","t4","thia4","th","ia","t4","same","tco","thia","tc_th","o_ia","t4t4","tco_thia","t4t4","tc_th","ia_o","tco_thia"
"orthogonal","94","khw3","kh","w","t3","tco3","tc","o","t3","same","khw","tco","kh_tc","w_o","t3t3","khw_tco","t3t3","kh_tc","o_w","khw_tco"
"orthogonal","95","thia2","th","ia","t2","tco2","tc","o","t2","same","thia","tco","th_tc","ia_o","t2t2","thia_tco","t2t2","tc_th","ia_o","tco_thia"
