"block","item_no","ANSWER","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"control","39","same","thia2","th","ia","t2","thia2","th","ia","t2","thia","thia","th_th","ia_ia","t2t2","thia_thia","t2t2","th_th","ia_ia","thia_thia"
"control","40","same","khw3","kh","w","t3","khw3","kh","w","t3","khw","khw","kh_kh","w_w","t3t3","khw_khw","t3t3","kh_kh","w_w","khw_khw"
"control","41","diff","tco1","tc","o","t1","tco4","tc","o","t4","tco","tco","tc_tc","o_o","t1t4","tco_tco","t1t4","tc_tc","o_o","tco_tco"
"control","42","same","khw2","kh","w","t2","khw2","kh","w","t2","khw","khw","kh_kh","w_w","t2t2","khw_khw","t2t2","kh_kh","w_w","khw_khw"
"control","43","diff","wua5","w","ua","t5","wua1","w","ua","t1","wua","wua","w_w","ua_ua","t5t1","wua_wua","t1t5","w_w","ua_ua","wua_wua"
"control","44","diff","tco5","tc","o","t5","tco4","tc","o","t4","tco","tco","tc_tc","o_o","t5t4","tco_tco","t4t5","tc_tc","o_o","tco_tco"
"control","45","same","thia3","th","ia","t3","thia3","th","ia","t3","thia","thia","th_th","ia_ia","t3t3","thia_thia","t3t3","th_th","ia_ia","thia_thia"
"control","46","diff","khw1","kh","w","t1","khw5","kh","w","t5","khw","khw","kh_kh","w_w","t1t5","khw_khw","t1t5","kh_kh","w_w","khw_khw"
"control","47","diff","wua2","w","ua","t2","wua3","w","ua","t3","wua","wua","w_w","ua_ua","t2t3","wua_wua","t2t3","w_w","ua_ua","wua_wua"
"control","48","same","tco2","tc","o","t2","tco2","tc","o","t2","tco","tco","tc_tc","o_o","t2t2","tco_tco","t2t2","tc_tc","o_o","tco_tco"
"control","49","same","khw4","kh","w","t4","khw4","kh","w","t4","khw","khw","kh_kh","w_w","t4t4","khw_khw","t4t4","kh_kh","w_w","khw_khw"
"control","50","diff","wua3","w","ua","t3","wua5","w","ua","t5","wua","wua","w_w","ua_ua","t3t5","wua_wua","t3t5","w_w","ua_ua","wua_wua"
"control","51","diff","thia5","th","ia","t5","thia4","th","ia","t4","thia","thia","th_th","ia_ia","t5t4","thia_thia","t4t5","th_th","ia_ia","thia_thia"
"control","52","diff","tco2","tc","o","t2","tco4","tc","o","t4","tco","tco","tc_tc","o_o","t2t4","tco_tco","t2t4","tc_tc","o_o","tco_tco"
"control","53","same","wua5","w","ua","t5","wua5","w","ua","t5","wua","wua","w_w","ua_ua","t5t5","wua_wua","t5t5","w_w","ua_ua","wua_wua"
"control","54","same","thia5","th","ia","t5","thia5","th","ia","t5","thia","thia","th_th","ia_ia","t5t5","thia_thia","t5t5","th_th","ia_ia","thia_thia"
"control","55","diff","tco3","tc","o","t3","tco4","tc","o","t4","tco","tco","tc_tc","o_o","t3t4","tco_tco","t3t4","tc_tc","o_o","tco_tco"
"control","56","same","khw1","kh","w","t1","khw1","kh","w","t1","khw","khw","kh_kh","w_w","t1t1","khw_khw","t1t1","kh_kh","w_w","khw_khw"
"control","57","diff","thia3","th","ia","t3","thia5","th","ia","t5","thia","thia","th_th","ia_ia","t3t5","thia_thia","t3t5","th_th","ia_ia","thia_thia"
"control","58","same","tco4","tc","o","t4","tco4","tc","o","t4","tco","tco","tc_tc","o_o","t4t4","tco_tco","t4t4","tc_tc","o_o","tco_tco"
"control","59","diff","wua2","w","ua","t2","wua4","w","ua","t4","wua","wua","w_w","ua_ua","t2t4","wua_wua","t2t4","w_w","ua_ua","wua_wua"
"control","60","diff","thia1","th","ia","t1","thia5","th","ia","t5","thia","thia","th_th","ia_ia","t1t5","thia_thia","t1t5","th_th","ia_ia","thia_thia"
"control","61","diff","wua4","w","ua","t4","wua3","w","ua","t3","wua","wua","w_w","ua_ua","t4t3","wua_wua","t3t4","w_w","ua_ua","wua_wua"
"control","62","same","khw5","kh","w","t5","khw5","kh","w","t5","khw","khw","kh_kh","w_w","t5t5","khw_khw","t5t5","kh_kh","w_w","khw_khw"
"control","63","same","tco2","tc","o","t2","tco2","tc","o","t2","tco","tco","tc_tc","o_o","t2t2","tco_tco","t2t2","tc_tc","o_o","tco_tco"
"control","64","diff","wua5","w","ua","t5","wua4","w","ua","t4","wua","wua","w_w","ua_ua","t5t4","wua_wua","t4t5","w_w","ua_ua","wua_wua"
"control","65","same","thia1","th","ia","t1","thia1","th","ia","t1","thia","thia","th_th","ia_ia","t1t1","thia_thia","t1t1","th_th","ia_ia","thia_thia"
"control","66","diff","tco5","tc","o","t5","tco2","tc","o","t2","tco","tco","tc_tc","o_o","t5t2","tco_tco","t2t5","tc_tc","o_o","tco_tco"
"control","67","diff","wua1","w","ua","t1","wua4","w","ua","t4","wua","wua","w_w","ua_ua","t1t4","wua_wua","t1t4","w_w","ua_ua","wua_wua"
"control","68","same","khw4","kh","w","t4","khw4","kh","w","t4","khw","khw","kh_kh","w_w","t4t4","khw_khw","t4t4","kh_kh","w_w","khw_khw"
"control","69","same","tco5","tc","o","t5","tco5","tc","o","t5","tco","tco","tc_tc","o_o","t5t5","tco_tco","t5t5","tc_tc","o_o","tco_tco"
"control","70","diff","thia1","th","ia","t1","thia2","th","ia","t2","thia","thia","th_th","ia_ia","t1t2","thia_thia","t1t2","th_th","ia_ia","thia_thia"
"control","71","same","wua2","w","ua","t2","wua2","w","ua","t2","wua","wua","w_w","ua_ua","t2t2","wua_wua","t2t2","w_w","ua_ua","wua_wua"
"control","72","same","khw5","kh","w","t5","khw5","kh","w","t5","khw","khw","kh_kh","w_w","t5t5","khw_khw","t5t5","kh_kh","w_w","khw_khw"
"control","73","diff","tco3","tc","o","t3","tco2","tc","o","t2","tco","tco","tc_tc","o_o","t3t2","tco_tco","t2t3","tc_tc","o_o","tco_tco"
"control","74","same","thia4","th","ia","t4","thia4","th","ia","t4","thia","thia","th_th","ia_ia","t4t4","thia_thia","t4t4","th_th","ia_ia","thia_thia"
"control","75","diff","khw5","kh","w","t5","khw4","kh","w","t4","khw","khw","kh_kh","w_w","t5t4","khw_khw","t4t5","kh_kh","w_w","khw_khw"
"control","76","diff","wua5","w","ua","t5","wua2","w","ua","t2","wua","wua","w_w","ua_ua","t5t2","wua_wua","t2t5","w_w","ua_ua","wua_wua"
"control","77","same","tco3","tc","o","t3","tco3","tc","o","t3","tco","tco","tc_tc","o_o","t3t3","tco_tco","t3t3","tc_tc","o_o","tco_tco"
"control","78","same","wua3","w","ua","t3","wua3","w","ua","t3","wua","wua","w_w","ua_ua","t3t3","wua_wua","t3t3","w_w","ua_ua","wua_wua"
"control","79","diff","thia2","th","ia","t2","thia5","th","ia","t5","thia","thia","th_th","ia_ia","t2t5","thia_thia","t2t5","th_th","ia_ia","thia_thia"
"control","80","same","khw3","kh","w","t3","khw3","kh","w","t3","khw","khw","kh_kh","w_w","t3t3","khw_khw","t3t3","kh_kh","w_w","khw_khw"
"orthogonal","1","diff","khw1","kh","w","t1","wua2","w","ua","t2","khw","wua","kh_w","w_ua","t1t2","khw_wua","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","2","same","khw2","kh","w","t2","tco2","tc","o","t2","khw","tco","kh_tc","w_o","t2t2","khw_tco","t2t2","kh_tc","o_w","khw_tco"
"orthogonal","3","diff","wua2","w","ua","t2","khw4","kh","w","t4","wua","khw","w_kh","ua_w","t2t4","wua_khw","t2t4","kh_w","ua_w","khw_wua"
"orthogonal","4","diff","thia2","th","ia","t2","wua3","w","ua","t3","thia","wua","th_w","ia_ua","t2t3","thia_wua","t2t3","th_w","ia_ua","thia_wua"
"orthogonal","5","same","wua5","w","ua","t5","tco5","tc","o","t5","wua","tco","w_tc","ua_o","t5t5","wua_tco","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","6","diff","khw5","kh","w","t5","thia3","th","ia","t3","khw","thia","kh_th","w_ia","t5t3","khw_thia","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","7","diff","tco2","tc","o","t2","wua1","w","ua","t1","tco","wua","tc_w","o_ua","t2t1","tco_wua","t1t2","tc_w","o_ua","tco_wua"
"orthogonal","8","same","thia1","th","ia","t1","tco1","tc","o","t1","thia","tco","th_tc","ia_o","t1t1","thia_tco","t1t1","tc_th","ia_o","tco_thia"
"orthogonal","9","diff","wua3","w","ua","t3","khw5","kh","w","t5","wua","khw","w_kh","ua_w","t3t5","wua_khw","t3t5","kh_w","ua_w","khw_wua"
"orthogonal","10","diff","thia2","th","ia","t2","tco5","tc","o","t5","thia","tco","th_tc","ia_o","t2t5","thia_tco","t2t5","tc_th","ia_o","tco_thia"
"orthogonal","11","same","khw4","kh","w","t4","wua4","w","ua","t4","khw","wua","kh_w","w_ua","t4t4","khw_wua","t4t4","kh_w","ua_w","khw_wua"
"orthogonal","12","diff","thia3","th","ia","t3","tco2","tc","o","t2","thia","tco","th_tc","ia_o","t3t2","thia_tco","t2t3","tc_th","ia_o","tco_thia"
"orthogonal","13","same","wua4","w","ua","t4","tco4","tc","o","t4","wua","tco","w_tc","ua_o","t4t4","wua_tco","t4t4","tc_w","o_ua","tco_wua"
"orthogonal","14","diff","tco1","tc","o","t1","khw5","kh","w","t5","tco","khw","tc_kh","o_w","t1t5","tco_khw","t1t5","kh_tc","o_w","khw_tco"
"orthogonal","15","diff","khw5","kh","w","t5","wua4","w","ua","t4","khw","wua","kh_w","w_ua","t5t4","khw_wua","t4t5","kh_w","ua_w","khw_wua"
"orthogonal","16","same","tco3","tc","o","t3","wua3","w","ua","t3","tco","wua","tc_w","o_ua","t3t3","tco_wua","t3t3","tc_w","o_ua","tco_wua"
